OBJECTID,rgn_typ,rgn_id,rgn_nam,rgn_key,are_km2,AO,BD,CP,CS,CW,ECO,FIS,FP,HAB,ICO,Index_,LE,LIV,LSP,MAR,NP,SP,SPP,TR,trnd_sc,Shape__Area,Shape__Length
1,eez,1,Cocos Islands,CCK,470116.600596,96.97,90.28,97.62,92.76,88.77,100,30.28,30.28,97.59,73.23,80,96.35,92.7,0,0,0,36.61,82.97,90.33,-0.39,485268864365.997,2479766.55471292
2,eez,10,Nauru,NRU,310565.147207,59.2,82.94,97.09,0,44.57,72.45,70.28,70.28,91.02,68.21,66.68,74.25,76.06,0,0.05,0,34.1,74.87,71.01,-0.49,303344442661.032,2088412.75891712
3,eez,100,Republique du Congo,COG,39863.5968214,53.71,87.2,0,0,47.51,96.45,52.09,52.09,99.09,66.3,50.95,76.53,56.61,100,0,0,83.15,75.31,7.43,0.19,40541257799.6598,960233.396818512
4,eez,101,Namibia,NAM,562727.622426,88.4,90.33,0,0,83.3,52.34,38.99,38.73,100,64.59,62.18,76.17,100,100,13.17,10.94,82.29,80.67,27.28,-0.2,670049729418.36,4124300.76841619
5,eez,102,South Africa,ZAF,1069377.88035,77.5,88.04,99.63,99.82,54.28,100,34.45,31.64,95.16,71.1,68.77,100,100,93.23,2.11,11.81,82.16,80.92,42.84,-0.14,1536415894527.05,7910920.93856522
6,eez,103,Sao Tome and Principe,STP,131709.175374,46.22,85.04,0,0,56.1,100,38.7,38.7,94.14,56.12,55.51,100,100,29.87,0,0,43,75.93,75.02,-0.11,133170301830.792,1827663.32428175
7,eez,104,Equatorial Guinea,GNQ,310365.413921,64.09,82.43,93.69,93.53,57.83,18.62,60.55,60.55,89.98,59.65,55.78,12.84,7.07,87.24,0,0,73.44,74.88,19.44,-2.15,305289608086.809,3297805.59392623
8,eez,105,Bouvet Island,BVT,440224.320454,84.83,94.45,0,0,98.91,0,75.37,0,100,44.7,75.14,0,0,0,0,0,22.35,88.91,0,0.61,1288303046749.94,4043140.09330357
9,eez,106,Ghana,GHA,226758.07504,47.64,83.99,99.86,99.77,31.27,100,52.75,52.75,89.66,70.58,62.17,94.68,89.35,2.7,0,60.28,36.64,78.31,14.81,0.24,224101885787.842,1985712.59748061
10,eez,107,Clipperton Island,CPT,433990.290769,87.47,87.7,0,0,86.16,0,94.2,94.2,100,70.5,78.16,0,0,0,0,0,35.25,75.4,0,-0.01,443805803296.248,2371093.16106119
11,eez,108,Bermuda,BMU,451643.081835,99.22,81.86,53.59,98.49,59.9,54.5,70.03,70.03,88.59,70.22,72.5,59.41,64.32,2.62,0,0,36.42,75.14,93.54,-0.56,625276317316.627,2815775.75641948
12,eez,11,Marshall Islands,MHL,2004592.5653,55.03,87.62,97.18,86.66,54.45,41.65,71.39,71.39,96.99,63.76,63.5,59.46,77.26,37.84,0,3.83,50.8,78.24,68.55,-2.08,2066519413845.43,6151827.60048263
13,eez,110,Bahamas,BHS,597705.143015,90.26,87.76,55.45,99.71,61.37,96.38,63.62,63.62,85.31,73.85,78.5,83.11,69.83,92.06,0,60.77,82.96,90.2,100,-0.01,728970479028.463,6807562.96468994
14,eez,111,Turks and Caicos Islands,TCA,154242.059356,85.2,87.2,69.29,73.62,63.31,95.47,64.06,64.06,87.17,81.25,77.08,95.01,94.55,60.57,0.01,62.23,70.91,87.23,100,1.21,178623594350.658,1866706.91948466
15,eez,112,Cuba,CUB,365755.761919,89.85,84.55,67.45,100,56.9,89.44,30.33,27.14,79.88,71.56,69.15,93.02,96.59,100,2.22,82.85,85.78,89.22,3.99,0.5,437246973164.998,7831678.73832563
16,eez,113,Cayman Islands,CYM,119605.46592,99.62,86.44,62.85,91.27,61.67,100,26.06,26.06,85.89,71.69,67.77,100,100,31.17,0,0,51.43,86.98,98.38,-1.17,133360669873.788,1484601.19566335
17,eez,114,Haiti,HTI,123867.218828,50.07,78.96,65.32,95.31,37.32,93.83,12.79,12.79,75.89,72.22,51.54,96.92,100,6.98,0,35,39.6,82.02,4.08,-0.45,138252176157.225,2859585.3451719
18,eez,115,Dominican Republic,DOM,270774.180101,73.81,89.36,96.05,86.35,49.1,98.77,43.71,42.51,91.79,74.98,65.4,83.22,67.66,100,0.24,3.41,87.49,86.94,42.71,-1.02,300839470826.03,3682809.22500852
19,eez,116,Puerto Rico and Virgin Islands of the United States,PRI-VIR,212193.329439,94.23,90.47,83.46,100,54.14,92.15,50.21,50.21,94.72,71.97,73.52,73.29,54.43,71.87,0,0,71.92,86.23,43.99,0.38,235181120390.139,2800936.22805685
20,eez,117,British Virgin Islands,VGB,80529.499024,84.63,86.67,56.64,72.92,58.56,81.91,39.68,39.68,86.57,74.52,68.72,75.06,68.21,14.12,0,0,44.32,86.78,100,0.08,92871966628.2158,1326408.12981227
21,eez,118,Anguilla,AIA,92653.5871511,84.44,86.42,60.45,72.52,64.25,85.82,19.38,19.38,86.38,80.86,66.71,61.83,37.85,21.38,0,0,51.12,86.46,100,-0.19,101721688089.562,1336552.96677565
22,eez,119,Saint Kitts and Nevis,KNA,10262.9031435,86.62,92.19,78.66,97.47,56.57,81.68,25.85,25.85,94.04,72.07,65.12,58.31,34.94,0,0,0,36.04,90.35,54.38,-0.27,12015079403.4238,458888.331253859
23,eez,12,Wake Island,UMI,409374.31828,93.71,77.15,76.21,0,71.11,69.14,84.02,84.02,78.13,56.71,79.11,73.19,77.23,100,0,0,78.35,76.18,0,-0.13,455730713512.84,2437596.35286936
24,eez,120,Antigua and Barbuda,ATG,108492.416191,81.33,87.7,81.46,99.94,62.06,88,29.75,29.75,88.94,73.75,79.16,94,100,78.74,0,0,76.25,86.46,100,0.2,119314434656.716,1607010.71632262
25,eez,121,Montserrat,MSR,7628.26523051,84.67,92.47,73.25,73.44,69.44,85.66,36.44,36.44,92.89,75.33,73.15,91.01,96.36,0,0,0,37.66,92.05,100,0.28,7920777696.3916,393874.258644753
26,eez,122,Saint Lucia,LCA,15560.3072657,77.84,83.02,74.64,56.54,54.59,72.74,31.67,31.67,75.18,78.07,58.77,60.26,47.78,20.21,0,0,49.14,90.86,100,-0.11,18363060899.5996,813934.719373887
27,eez,123,Dominica,DMA,28749.1694931,74.9,75.21,26.53,26.7,57.74,91.17,16.98,16.98,62.03,80.2,50.54,84.28,77.38,11.74,0,0,45.97,88.4,97.13,0.36,31457160125.4697,1379893.39745932
28,eez,124,Barbados,BRB,185019.817783,71.06,82.58,69.42,26.97,62.26,72.96,58.22,58.22,79.94,72.64,58.34,71.71,70.45,8.66,0,0.5,40.65,85.22,100,0.05,191761172438.699,1719284.55891354
29,eez,125,Grenada,GRD,26281.5066211,67.47,79.29,59.84,46.96,55.54,71.11,42.3,42.3,67.69,70.09,59.98,85.55,100,16.57,0,0,43.33,90.9,59.55,0.55,27464529792.2729,832993.229545172
30,eez,126,Trinidad and Tobago,TTO,75798.4651196,84.58,91.66,87.86,94.73,61.33,82.08,38.51,38.51,93.83,73.34,62.55,85.12,88.17,23.19,0,4.77,48.27,89.49,28.71,-1.91,79847322961.5112,1713822.99092542
31,eez,127,Saint Vincent and the Grenadines,VCT,36510.9524175,63.98,91.47,74.76,92.07,61.01,22.05,32.95,32.95,92.41,78.37,57.13,27.17,32.3,30.42,0,25.5,54.39,90.53,48.02,0.64,37323317398.1777,959277.322078783
32,eez,129,Panama,PAN,332643.54762,77.52,80.19,65.79,42.96,63.39,100,55.52,50.68,72.3,68.98,64.99,100,100,48.54,8.99,45.14,58.76,88.08,65.45,0.46,342649108254.185,4687123.3897442
33,eez,13,Northern Mariana Islands and Guam,MNP,976202.871961,85.72,88.09,97.46,92.66,61.72,48.43,76.55,76.15,98.55,61.95,76.81,63.58,78.73,42.04,0.74,0,51.99,77.64,73.94,-0.53,1060418082179.25,4166588.52831414
34,eez,130,Costa Rica,CRI,576132.396748,70.34,88.68,77.32,68.85,70.3,100,32.5,29,94.11,70.16,62.06,76.22,52.44,57.97,7.03,18.78,64.07,83.25,57.01,-0.03,581442445420.683,4086734.6499586
35,eez,131,Nicaragua,NIC,223935.236133,57.02,78.72,30.13,9.76,66.6,100,35.09,38.35,68.53,67.19,45.3,79.55,59.1,100,47.17,2.33,83.6,88.92,6.92,-0.76,237870057907.14,4788861.60422334
36,eez,132,Colombia,COL,730703.10229,69.2,75.82,81.32,71.51,61.14,100,30.42,28.77,65.99,67.29,56.24,80.44,60.89,66.25,0.84,2.96,66.77,85.65,24.46,-0.75,756511138160.829,7816847.80948269
37,eez,133,Honduras,HND,219971.148302,56.13,89.33,95.48,88.29,58.47,100,41.94,36.28,89.48,71.74,65.55,94,88.01,100,28.99,44.46,85.87,89.18,7.17,0.19,241295925256.401,2811692.19025069
38,eez,134,El Salvador,SLV,94238.049921,72.6,84.17,62.75,62.48,45.05,100,29.96,28.29,83.5,60.87,52.15,71.13,42.25,98.15,0.8,10.79,79.51,84.83,4.74,-0.67,97045019053.708,1406603.47297201
39,eez,135,Mexico,MEX,3284659.72318,70.78,87,81.19,75.69,63.48,100,34.56,33.3,90.74,65.69,68.29,72.89,45.79,100,18.16,29.33,82.85,83.27,86.33,-0.48,3817200565758.57,21124165.7555811
40,eez,136,Guatemala,GTM,118336.353605,58.53,90.06,96.55,96.23,32.11,100,39.42,26.84,98.52,71.98,59.04,100,100,92.51,16.31,4.01,82.24,81.6,3.87,-1.11,120889874753.854,1659903.63999671
41,eez,137,Ecuador,ECU,1079918.44682,69.01,87.13,81.85,78.35,66.88,100,54.43,76.43,95.6,65.63,72.12,100,100,100,100,56.88,82.81,78.66,21.85,0.59,1077060308196.23,6998600.22704032
42,eez,138,Peru,PER,838324.362495,76.28,76.38,56.18,56.07,57.16,45.42,62.74,62.42,77.75,67.82,58.16,63.12,80.82,47.34,21.47,52.22,57.58,75.01,24.2,-0.11,872146902895.21,5710828.09608194
43,eez,139,Venezuela,VEN,473325.114899,77.2,84.38,80.56,87.51,61.58,95.69,41.19,37.98,85.22,65.03,60.23,82.98,70.28,79.07,4.32,15.5,72.05,83.55,2.57,0.23,497743026311.153,7204005.8297893
44,eez,14,Taiwan,TWN,342997.020084,88.19,93.21,97.89,95.63,41.77,96.85,43.67,41.93,95.32,65.46,65.46,92.06,87.26,23.51,33.84,32.27,44.48,91.1,27.2,-0.44,393514354351.416,4456659.9381416
45,eez,140,Guadeloupe and Martinique,GLP-MTQ,138683.404744,87.97,92.16,96.41,99.94,71.31,32.79,18.16,18.05,94.98,75.25,72.6,65.51,98.24,100,0.18,0,87.63,89.34,34.39,0.09,151230975147.271,3343768.36084558
46,eez,141,Faeroe Islands,FRO,266720.483433,97.03,89.81,0,0,74.09,90.64,56.82,66.75,100,76.03,67.79,88.19,85.75,8.91,100,36.76,42.47,79.62,47.17,0.77,1256597944365.43,5009341.62419371
47,eez,143,Iceland,ISL,752783.414734,98.1,70.65,0,0,79.3,43.77,65,65.57,60.91,58.22,69.45,64.4,85.03,39.48,100,39.08,48.85,80.39,89.63,0.39,4180120530086.97,16844477.823029
48,eez,144,Jan Mayen,SJM,291233.691162,96.18,56.94,0,0,92.58,90.64,65.43,65.43,37.62,75,81.14,88.19,85.75,100,0,0,87.5,76.26,0,-0.5,2785955138564.94,6645052.54715242
49,eez,145,Greenland,GRL,2264464.44011,97.03,89.54,94.69,0,94.44,100,62.05,62.05,93.72,65.46,74.23,100,100,99.34,0,0,82.4,85.37,47.93,0.06,57671865310763.7,164258286.639531
50,eez,146,Pitcairn,PCN,839476.222788,73.65,90.58,100,0,85.43,73.04,89.1,89.1,100,75.21,84.92,81.16,89.28,71.3,0,0,73.26,81.17,86.18,1.53,1008763315949.73,3920713.06970218
51,eez,147,French Polynesia,PYF,4795467.77549,65.95,89.53,99.57,91.63,87.02,46.41,55.48,54.18,97.59,66.96,78.14,73.2,100,0,27.11,98.03,33.48,81.48,88.85,0.28,5390059991231.8,11692343.3467947
52,eez,148,Line Group,KIR,1655965.58357,60.67,88.03,100,0,87.4,68.38,62.59,62.59,100,59.82,71.89,74.05,79.72,0,0,0,29.91,76.07,72.44,-0.86,1670786011458.77,7513727.89357132
53,eez,149,Jarvis Island,UMI,318799.103938,93.71,83.97,0,0,98.38,0,48.7,48.7,91.24,57.35,80.69,0,0,100,0,0,78.67,76.7,0,-0.67,312655108941.832,2048144.60309975
54,eez,15,Philippines,PHL,1835027.87937,64.44,84.81,92.39,68.68,52.6,46.76,68.02,59.46,83.59,61.88,66.25,45.21,43.67,36.82,13.84,92.37,49.35,86.03,53.2,1.18,1946767860483.22,19263947.3549368
55,eez,150,Palmyra Atoll,UMI,353242.059245,93.71,84.54,76.42,0,92.88,0,48.96,48.96,92.7,57.02,79.17,0,0,100,0,0,78.51,76.39,0,-0.53,350345543356.782,2258667.94299159
56,eez,151,American Samoa,ASM,406815.936032,85.86,87.96,95.63,94.17,56.59,72.76,42.16,42.16,97.82,62.32,77.3,85.98,99.2,68.81,0,0,65.56,78.1,81.81,0.44,430023055340.941,3143358.33392003
57,eez,152,Samoa,WSM,132305.567661,74.3,89.86,95.46,90.53,91.29,82.19,12.46,12.46,96.38,67.88,66.13,42.86,3.52,2.83,0,44.65,35.35,83.34,84.5,1.37,140704278783.779,1923599.31586034
58,eez,153,Cook Islands,COK,1972842.71662,79.87,82.46,92.51,53.99,92.79,58.46,46.19,46.15,85.18,66.5,69.57,47.15,35.84,100,1.01,30.04,83.25,79.75,87.49,0.48,2121721260239.25,7310178.93136972
59,eez,154,Niue,NIU,318243.753892,77.98,80.88,85.86,52.75,85.28,33.28,35.64,35.64,84.02,66.39,68.09,57.62,81.96,38.61,0,0,52.5,77.75,84.27,0.2,356235058490.695,2243702.41304741
60,eez,155,Tonga,TON,668054.123398,71.11,88.56,94.7,87.32,69.33,99.63,19.83,19.82,97.59,63.11,69.1,99.81,100,3.76,0.04,46.68,33.44,79.54,80.28,1.34,757846744959.836,3889367.1900483
61,eez,156,Tokelau,TKL,321242.329818,79.41,76.94,91.8,53.31,74.66,71.51,32.15,32.15,75.32,54.64,66.59,80.39,89.28,0,0,0,27.32,78.55,83.36,0.38,326906828868.552,2285930.80997195
62,eez,157,Phoenix Group,KIR,748008.706042,61.78,87.16,100,0,97.97,68.84,69.08,69.08,96.64,60.92,80.67,74.66,80.47,100,0,0,80.46,77.68,74.23,-0.96,746387993135.477,3357076.89637825
63,eez,158,Howland Island and Baker Island,UMI,437861.783601,86.65,89.05,100,0,97.91,0,85.38,85.38,100,57.17,89.6,0,0,100,0,0,78.58,78.11,0,-0.36,433546844693.49,2384043.30358712
64,eez,159,Johnston Atoll,UMI,445116.526912,93.71,84.16,75.5,0,75.25,0,50.59,50.59,92.26,56.71,76.26,0,0,100,0,0,78.35,76.06,0,-0.63,478141237564.49,2461294.72168041
65,eez,16,Australia,AUS,6956845.81259,98.21,93.39,89.4,92.92,81.33,100,48.89,40.2,94.48,84.95,79.74,95.62,91.23,100,12.41,53.63,92.48,92.29,60.19,0.07,9145385090152.4,49999756.974901
66,eez,161,Wallis and Futuna,WLF,262863.597187,64.92,89.81,100,0,92.54,72.79,68.84,68.84,98.48,74.84,77.4,81.04,89.28,0,0,0,37.42,81.15,84.65,0.64,275629018202.842,2345358.89838771
67,eez,162,New Zealand,NZL,4106953.90739,95.73,87.94,68.64,64.64,79.13,100,67.97,72.29,90.16,61.74,78.94,100,100,65.21,100,57.52,63.48,85.71,100,-0.43,7799741292434.9,34211683.018198
68,eez,163,United States,USA,8591243.71191,100,79.33,75.22,61.6,74.6,99.91,68.47,66.77,75.66,69.86,68.89,77.8,55.69,74.74,13.29,36.3,72.3,83,45.01,-0.87,21920763814024.3,118306519.583597
69,eez,164,Belize,BLZ,36249.8346044,72.65,75.8,23.57,38.85,66.15,100,39.78,40.42,61.32,68.64,63.21,100,100,100,47.05,31.46,84.32,90.28,98.86,-0.02,39672514648.6963,1116989.02961938
70,eez,166,Jamaica,JAM,246488.447711,60.46,82.36,51.67,99.07,43.23,88.69,25.31,25.31,79.01,68.81,60.62,79.89,71.09,84.02,0.01,0.5,76.41,85.72,87.32,0.14,269253406958.507,2788454.98691135
71,eez,167,Guyana,GUY,136909.972094,58.57,91.3,89.5,89.47,74.49,98.63,15.99,15.98,96.98,69.35,61.98,69.34,40.06,17.96,0.43,0,43.65,85.62,25.53,-0.06,142246382436.98,1704877.959781
72,eez,168,Suriname,SUR,128363.011782,71.11,91.9,99.74,99.74,76.89,75.3,18.48,18.47,99.87,71.96,68.07,85.75,96.2,100,0.39,39.73,85.98,83.93,11.38,-0.49,129867530522.804,1706026.06234296
73,eez,169,French Guiana,GUF,136563.775857,70.41,93.74,100,100,83.16,32.26,34.91,34.91,100,77.69,71.64,47.4,62.55,100,0,0,88.84,87.49,26.32,0.18,138355563105.556,1682716.14389918
74,eez,17,Papua New Guinea,PNG,2407382.25276,53.61,87.77,88.73,83.48,65.2,100,66.78,66.78,92,59.71,59.24,100,100,9.41,0.01,7.28,34.56,83.53,5.01,-0.54,2454971636410.76,16283804.6474126
75,eez,171,Brazil,BRA,3672584.29126,69.96,89.22,97.48,97.69,58.96,100,48.76,45.27,95.24,68.47,65.7,80.1,60.2,99.17,4.16,4.5,83.82,83.19,30,-0.14,4004821643650.77,27247418.386966
76,eez,172,Argentina,ARG,1083150.52637,81.89,89.6,0,0,80.09,100,52.83,52.83,100,65.6,68.77,91.64,83.28,100,0.01,37.36,82.8,79.2,33.93,-0.33,2390825630647.64,14332740.7418777
77,eez,173,Uruguay,URY,130097.971095,84.83,88.18,0,0,57.98,100,49.94,49.94,100,68.59,62.73,100,100,98.43,0,4.64,83.51,76.35,32.72,0.07,197808538042.402,2668926.90503524
78,eez,174,Finland,FIN,79467.828702,95.54,86.18,0,0,69.45,100,85.95,79.57,88.28,95.83,74.09,84.47,68.95,65.78,18.29,73.28,80.81,84.07,23.45,0.03,381079313585.519,7896895.07426225
79,eez,175,Denmark,DNK,100613.400453,98.79,90.22,100,100,53.75,71.75,60.59,59.19,96.35,90.27,75.54,71.06,70.37,100,13.15,61.01,95.13,84.1,26.26,0.23,318020355097.699,8357709.05723535
80,eez,176,Germany,DEU,56357.9233539,97.56,87.95,100,100,49.95,100,58.62,55.15,91.26,89.84,84.86,91.86,83.72,100,10.5,73.29,94.92,84.64,97.97,0.12,169684551408.63,5420195.38688367
81,eez,177,Netherlands,NLD,64204.9916985,98.97,81.13,100,100,45.01,80.25,62.04,58.17,78.18,72.7,75.77,66.87,53.49,100,36.75,51.26,86.35,84.08,69.92,-0.13,187758074300.261,3282518.59916856
82,eez,178,Poland,POL,31945.6484321,90.69,70.34,59.7,60.81,42.78,100,52.88,52.88,59.27,95.45,65.41,82.32,64.64,100,0,74.74,97.73,81.4,22.15,0.99,97745985349.9756,2204301.27810096
83,eez,179,France,FRA,343866.251961,95.57,84.94,75.12,67.35,49.09,100,56.55,54.04,90.44,71.66,70.48,81.98,63.96,100,46.01,49.64,85.83,79.44,61.26,-0.27,720074701018.918,10008492.738159
84,eez,18,Fiji,FJI,1293035.66924,54.63,84.35,98.57,68.77,75.47,81.97,40.54,40.54,87.24,58.44,69.58,68.27,54.57,66.49,0.01,42.77,62.47,81.47,100,0.11,1426894499673.17,8765513.24456957
85,eez,180,United Kingdom,GBR,723406.80786,95.99,87.24,53.85,55.43,62.98,96.43,54.22,51.46,91.67,69.62,72.41,90.22,84,100,13.52,71.42,84.81,82.81,70.69,0.18,2462502947505.77,24850888.3530356
86,eez,181,Ireland,IRL,426441.724536,100,81.63,55.52,55.54,61.91,100,56.11,55.8,82.28,65.43,66.38,79.62,59.24,99.95,52.31,68.82,82.69,80.98,22.3,0.44,1162712027952.54,8331970.99243948
87,eez,182,Spain,ESP,555707.223459,92.78,74.6,53.58,53.64,50.48,100,56.86,58.7,75.83,69.77,67.61,79.01,58.02,100,62.65,50.75,84.89,73.37,77.71,0.32,992585774753.477,9474083.52336977
88,eez,183,Portugal,PRT,311717.992704,88.17,87.1,0,0,51.12,100,53.44,51.39,97.21,66.83,78.36,93.38,86.77,100,7.42,72.27,83.42,76.99,100,1.22,501353012239.707,3437101.30230161
89,eez,184,Italy,ITA,538881.000468,93.21,81.86,85.65,85.04,50.16,100,49.77,43.06,93.5,70.09,79.75,87.09,74.17,100,21.03,95.63,85.05,70.22,90.76,0.51,903221970701.973,11857181.8922006
91,eez,186,Montenegro,MNE,7459.24658513,73.07,85.39,0,0,59.5,97.58,53.12,50.77,100,62.34,55.26,79.72,61.86,0.75,4.81,0.82,31.54,70.77,61.23,0.26,14380980280.1299,525367.694010347
92,eez,187,Croatia,HRV,55462.3496455,73.3,88.39,0,0,63.71,100,53.43,50.83,100,61.56,71.3,80.18,60.36,98.85,24.47,33.78,80.21,76.78,100,0.07,111318052371.805,2651289.91735631
93,eez,188,Slovenia,SVN,186.313780278,91.05,90.9,0,0,28.16,100,42.55,31.86,100,62.62,61.61,100,100,100,15.71,29.54,81.31,81.81,40.04,-0.59,247090521.617188,73366.7088957812
94,eez,189,Lithuania,LTU,6125.64876457,92.28,73.02,0,0,45.6,100,49.29,49.29,63.15,95.45,64.3,77.69,55.38,100,0,59.49,97.73,82.9,19.27,-0.07,20231238881.3271,852878.628401779
95,eez,19,Tuvalu,TUV,751275.525556,47.82,88.37,100,0,62.92,100,67.4,67.39,100,60.74,72.55,100,100,7.11,0.18,0,33.93,76.74,79.94,0.9,765456057640.675,5495423.58667
96,eez,190,Qatar,QAT,31987.676133,100,92.98,95.26,90.25,64.97,81.17,43.22,43.22,98,58.52,75.29,68.08,54.99,75.7,0,0,67.11,87.96,55.76,0.48,39372639210.4375,1306627.59590069
97,eez,191,Iran,IRN,163764.703229,80.04,87.97,88.97,87.27,66.23,60.36,24.23,24.19,91.12,54.69,60.78,80.18,100,63.81,23.52,33.68,59.25,84.83,0,-1.15,204339070516.861,4602632.8794905
98,eez-inland,191,Iran,IRN,61035.8692793,80.04,87.97,88.97,87.27,66.23,60.36,24.23,24.19,91.12,54.69,60.78,80.18,100,63.81,23.52,33.68,59.25,84.83,0,-1.15,96348926497.7207,1546380.23736737
99,eez,192,Iraq,IRQ,595.827362512,64.32,82.88,82.58,82.52,41.56,71.05,29.57,29.57,83.89,46.99,54.72,85.53,100,0,0,0,23.5,81.87,0,0.12,1349250458.68164,219683.60311723
100,eez,193,Guinea Bissau,GNB,106506.62063,51.33,73.17,30.1,30.37,54.99,25.59,49.39,49.39,68.13,64.17,48.57,61,96.41,100,0,0,82.08,78.2,4.71,-0.16,113018592850.951,1962841.47535383
101,eez,194,Guinea,GIN,110136.291533,44.29,75.52,31.21,32.81,42.23,97.77,57.54,57.54,72.38,61.58,49.6,80.03,62.28,79.67,0,0,70.62,78.65,12.19,0.01,111372479884.629,1666965.69865871
102,eez,195,Ivory Coast,CIV,174842.242742,46.4,70.14,32.48,32.39,37.73,100,40.08,40.08,62.49,68.44,41.37,85.67,71.34,22.96,0,1.63,45.7,77.79,21.44,-0.36,176747898676.697,1691394.60114451
103,eez,196,Nigeria,NGA,182874.660848,53.06,64.77,97.26,97.1,28.1,51.3,45.45,45.45,54.78,66.9,50.65,75.65,100,8.84,0,5.37,37.87,74.76,1.89,-0.47,184424035638.17,3008960.72183379
104,eez,197,Cameroon,CMR,14704.2563269,45.08,79.78,92.39,92.1,34.49,98.41,69.89,69.89,81.03,65.34,63.68,75.6,52.79,74.89,0,0,70.11,78.54,13.68,-0.22,16235862851.426,1085526.22878996
105,eez,198,Gabon,GAB,193292.328729,73.42,75.26,71.36,71.31,62.95,79.89,61.92,61.92,72.21,65.28,62.69,59.24,38.58,100,0,0,82.64,78.31,6.12,0.55,194011332575.371,2469666.45749378
106,eez,199,Democratic Republic of the Congo,COD,13265.4038508,48.86,69.54,29.83,29.79,39.54,96.07,45.91,45.91,64.45,62.16,47.15,98.04,100,62.58,0,0,62.37,74.62,0.42,-0.14,13628594918.3478,885220.480859614
107,eez,2,Christmas Island,CXR,330035.519533,96.97,88.96,93.12,92.76,81.51,100,48.39,48.39,94.68,58.48,82.76,96.35,92.7,55.47,0,0,56.98,83.23,89.84,-0.25,333891189023.981,2142066.24744248
108,eez,20,South Korea,KOR,324993.775336,95.69,95.48,0,0,64.28,100,27.73,76.74,100,68.29,77.16,94.78,89.56,83.06,97.06,90.19,75.68,90.95,24.42,0.16,496841307874.18,7141285.35353716
109,eez,200,Angola,AGO,493753.372908,52.83,79.06,87.06,84.65,52.73,88.9,47.59,47.59,84.57,60.61,59.32,73.81,58.72,25.31,0,67.12,42.96,73.55,5.37,1.06,511581926563.322,4152429.71785005
